frame,Tronco LD,Tronco LD_FILT,Tronco LD_ERROR,Tronco LD_FLAG,Cadera LD,Cadera LD_FILT,Cadera LD_ERROR,Cadera LD_FLAG,Rodilla LD,Rodilla LD_FILT,Rodilla LD_ERROR,Rodilla LD_FLAG,Tobillo LD,Tobillo LD_FILT,Tobillo LD_ERROR,Tobillo LD_FLAG,Acromion D_x,Acromion D_x_FILT,Acromion D_x_ERROR,Acromion D_x_FLAG,Acromion D_y,Acromion D_y_FILT,Acromion D_y_ERROR,Acromion D_y_FLAG,Cadera D_x,Cadera D_x_FILT,Cadera D_x_ERROR,Cadera D_x_FLAG,Cadera D_y,Cadera D_y_FILT,Cadera D_y_ERROR,Cadera D_y_FLAG,Rodilla D_x,Rodilla D_x_FILT,Rodilla D_x_ERROR,Rodilla D_x_FLAG,Rodilla D_y,Rodilla D_y_FILT,Rodilla D_y_ERROR,Rodilla D_y_FLAG,Tobillo D_x,Tobillo D_x_FILT,Tobillo D_x_ERROR,Tobillo D_x_FLAG,Tobillo D_y,Tobillo D_y_FILT,Tobillo D_y_ERROR,Tobillo D_y_FLAG,Metatarso D_x,Metatarso D_x_FILT,Metatarso D_x_ERROR,Metatarso D_x_FLAG,Metatarso D_y,Metatarso D_y_FILT,Metatarso D_y_ERROR,Metatarso D_y_FLAG
101.0,-2.2906100426384346,0.0,2.2906100426384346,False,11.700579462815847,0.0,11.700579462815847,False,-33.80222609371904,-132.27368900609372,98.47146291237468,False,9.482324337472464,-5.403791360249713,14.886115697722175,False,985.0,0.3923958125815432,984.6076041874184,False,238.0,-3.3291906950064285,241.3291906950064,False,997.0,-3.0449550407948043,1000.0449550407948,False,538.0,-3.2927709476892324,541.2927709476892,False,1032.0,-7.29257590201578,1039.292575902016,False,707.0,-3.3926560446720715,710.3926560446721,False,952.0,3.358112873923346,948.6418871260768,False,904.0,8.926129626965295,895.0738703730347,False,1019.0,7.96351652404275,1011.0364834759572,False,919.0,5.0344924106244,913.9655075893756,False
102.0,-1.149593794274467,0.0,1.149593794274467,False,10.539183728628242,-75.96375653207352,86.50294026070176,False,-34.19954052061499,-120.96375653207352,86.76421601145853,False,10.2293279213051,6.340191745909905,3.889136175395194,False,989.0,2.383666510932512,986.6163334890676,False,239.0,-2.3696136181605096,241.3696136181605,False,995.0,-4.258365649294218,999.2583656492942,False,538.0,-2.8220565413998284,540.8220565413998,False,1027.0,-12.702087364098103,1039.702087364098,False,710.0,-0.8160084078168777,710.8160084078169,False,942.0,-2.8435435853270783,944.8435435853272,False,904.0,10.553048289723677,893.4469517102764,False,1009.0,2.7849219479155494,1006.2150780520844,False,920.0,5.455665367276371,914.5443346327236,False
103.0,-0.1929143535337253,83.6598082540901,83.85272260762382,False,8.770763282732121,-77.0053832080835,85.77614649081562,False,-33.50784621550514,-116.29479007058384,82.7869438550787,False,11.30605406209132,5.710593137499643,5.595460924591677,False,991.0,4.381808656992494,986.6181913430077,False,240.0,-1.510979004043293,241.5109790040433,False,992.0,-5.459635715221331,997.4596357152212,False,537.0,-2.3627905015832384,539.3627905015833,False,1019.0,-18.153030970499263,1037.1530309704992,False,712.0,1.640805496769815,710.3591945032301,False,931.0,-9.08962113220934,940.0896211322092,False,903.0,12.1026154032936,890.8973845967064,False,998.0,-2.4596821444204493,1000.4596821444204,False,919.0,5.8560371443600845,913.14396285564,False
104.0,0.7716136787358204,85.23635830927383,84.46474463053801,False,5.839492311517428,-76.7594800848128,82.59897239633023,False,-30.44228646980241,-115.41928833890287,84.97700186910046,False,10.158758433792755,2.526116911619553,7.632641522173202,False,994.0,6.4054325129164935,987.5945674870836,False,240.0,-0.8658447126538124,240.86584471265385,False,990.0,-6.657513159028859,996.6575131590288,False,537.0,-1.939938292701233,538.9399382927012,False,1008.0,-23.70512017906222,1031.7051201790623,False,713.0,3.8361222025852495,709.1638777974148,False,921.0,-15.379725209497684,936.3797252094976,False,903.0,13.528753461559068,889.4712465384409,False,987.0,-7.766202232196172,994.7662022321962,False,920.0,6.2379220002205775,913.7620779997794,False
105.0,1.7241015555690158,86.18592516570965,84.46182361014063,False,2.9273479917408234,-74.74488129694222,77.67222928868304,False,-27.894433502515312,-116.37842063351242,88.48398713099711,False,10.523049786282227,3.3664606634298053,7.156589122852422,False,998.0,8.469559447775907,989.530440552224,False,238.0,-0.5321741921622117,238.53217419216224,False,989.0,-7.860015070108259,996.8600150701084,False,537.0,-1.5781316398115617,538.5781316398115,False,998.0,-29.407139987047863,1027.407139987048,False,713.0,5.641336708130509,707.3586632918694,False,910.0,-21.70651313365917,931.7065131336592,False,902.0,14.789087252247812,887.2109127477522,False,976.0,-13.127040551607148,989.1270405516073,False,919.0,6.605311151569212,912.3946888484307,False
106.0,2.481264801195729,86.98721249581666,84.50594769462093,False,0.3237015249197241,-74.93151184050778,75.25521336542751,False,-25.77515209256512,-112.806495491606,87.03134339904088,False,10.41363466406267,4.112228844718459,6.301405819344211,False,1000.0,10.58375895329019,989.4162410467098,False,237.0,-0.5873130776946556,237.58731307769463,False,987.0,-9.074020950194685,996.0740209501948,False,537.0,-1.3016207513183442,538.3016207513183,False,988.0,-35.29156849214279,1023.2915684921428,False,714.0,6.947044364945503,707.0529556350544,False,899.0,-28.055563174257827,927.0555631742578,False,901.0,15.846084033202834,885.1539159667972,False,966.0,-18.53302490152808,984.533024901528,False,919.0,6.964188486865347,912.0358115131346,False
107.0,3.422250109783805,0.0,3.422250109783805,False,-2.5733594631768395,-75.52970589993411,72.95634643675727,False,-22.87809110446807,-113.40468955103232,90.52659844656424,False,10.196331864587153,1.414423211402152,8.781908653185,False,1004.0,12.750701725979132,991.2492982740208,False,235.0,-1.0835023631958332,236.08350236319583,False,986.0,-10.304943677164452,996.3049436771644,False,536.0,-1.1341008599367934,537.1341008599368,False,978.0,-41.37024632886408,1019.370246328864,False,714.0,7.66814576386749,706.3318542361325,False,889.0,-34.40598583365903,923.4059858336592,False,901.0,16.66806277795736,884.3319372220426,False,955.0,-23.975479551896555,978.9754795518966,False,919.0,7.322561895002879,911.6774381049972,False
108.0,4.152802231724748,87.70938995736147,83.55658772563672,False,-5.165241044995726,-77.47119229084849,72.30595124585277,False,-20.783750223683,-112.46321248940716,91.67946226572415,False,10.693872565620978,7.28166880753507,3.4122037580859086,False,1007.0,14.965220756679315,992.0347792433208,False,233.0,-2.0451720515460186,235.045172051546,False,985.0,-11.55642939950749,996.5564293995076,False,536.0,-1.0983184288148178,537.0983184288148,False,969.0,-47.631366283958656,1016.6313662839586,False,713.0,7.747710685996208,705.2522893140037,False,878.0,-40.73172377762554,918.7317237776256,False,900.0,17.229986519905076,882.7700134800949,False,944.0,-29.44826587497445,973.4482658749744,False,918.0,7.690116982552824,910.3098830174472,False
109.0,5.026110415698269,86.05481377096244,81.02870335526417,False,-7.487388197143666,-79.2157021324374,71.72831393529373,False,-18.95627379818356,-114.20772233099606,95.2514485328125,False,10.38367468816658,-0.2968666673246929,10.680541355491274,False,1011.0,17.21393484208087,993.7860651579192,False,228.0,-3.4681111796938944,231.4681111796939,False,984.0,-12.830037574611458,996.8300375746114,False,535.0,-1.2153896070332375,536.2153896070332,False,961.0,-54.03798270627691,1015.0379827062768,False,710.0,7.159467799483749,702.8405322005162,False,867.0,-47.00340867137972,914.0034086713796,False,899.0,17.5139550149593,881.4860449850407,False,933.0,-34.94960810594353,967.9496081059436,False,918.0,8.077444563158915,909.9225554368412,False
110.0,5.728951284744938,83.08877288097531,77.35982159623038,False,-9.19358224861302,-82.56859202882748,73.37500978021447,False,-17.85192541939304,-112.82502919235677,94.97310377296373,False,10.9855203608455,4.4387163677047,6.5468039931408,False,1013.0,19.4754494727793,993.5245505272208,False,226.0,-5.320462081753367,231.32046208175336,False,982.0,-14.12486188945992,996.12486188946,False,535.0,-1.5038019879292293,536.5038019879293,False,954.0,-60.52815562145583,1014.528155621456,False,708.0,5.9088575594948125,702.0911424405052,False,857.0,-53.19057476620032,910.1905747662004,False,898.0,17.509329222127533,880.4906707778724,False,923.0,-40.48351722502052,963.4835172250204,False,917.0,8.494847603483027,908.505152396517,False
