frame,Tronco LI,Tronco LI_FILT,Tronco LI_ERROR,Tronco LI_FLAG,Cadera LI,Cadera LI_FILT,Cadera LI_ERROR,Cadera LI_FLAG,Rodilla LI,Rodilla LI_FILT,Rodilla LI_ERROR,Rodilla LI_FLAG,Tobillo LI,Tobillo LI_FILT,Tobillo LI_ERROR,Tobillo LI_FLAG,Acromion I_x,Acromion I_x_FILT,Acromion I_x_ERROR,Acromion I_x_FLAG,Acromion I_y,Acromion I_y_FILT,Acromion I_y_ERROR,Acromion I_y_FLAG,Cadera I_x,Cadera I_x_FILT,Cadera I_x_ERROR,Cadera I_x_FLAG,Cadera I_y,Cadera I_y_FILT,Cadera I_y_ERROR,Cadera I_y_FLAG,Rodilla I_x,Rodilla I_x_FILT,Rodilla I_x_ERROR,Rodilla I_x_FLAG,Rodilla I_y,Rodilla I_y_FILT,Rodilla I_y_ERROR,Rodilla I_y_FLAG,Tobillo I_x,Tobillo I_x_FILT,Tobillo I_x_ERROR,Tobillo I_x_FLAG,Tobillo I_y,Tobillo I_y_FILT,Tobillo I_y_ERROR,Tobillo I_y_FLAG,Metatarso I_x,Metatarso I_x_FILT,Metatarso I_x_ERROR,Metatarso I_x_FLAG,Metatarso I_y,Metatarso I_y_FILT,Metatarso I_y_ERROR,Metatarso I_y_FLAG
101.0,-9.895934864331828,-81.86989764584402,71.9739627815122,False,18.537813666646034,75.96375653207352,57.42594286542749,False,-32.450334709129464,-10.19150185002772,22.258832859101744,False,-23.48774062747023,-2.3373058591238163,21.15043476834641,False,825.0,-4.127711093087202,829.1277110930872,False,171.0,1.3246485365174048,169.6753514634826,False,881.0,3.5532824982404527,877.4467175017595,False,492.0,2.7704889676450035,489.229511032355,False,937.0,7.2031872102039145,929.796812789796,False,659.0,1.1264762597862086,657.8735237402138,False,1095.0,27.59056461852466,1067.4094353814753,False,787.0,-8.211608658161069,795.211608658161,False,1075.0,31.63719582994296,1043.362804170057,False,859.0,0.4845570546145989,858.5154429453854,False
102.0,-9.201625313644843,-75.96375653207352,66.76213121842868,False,17.60763044810725,0.0,17.60763044810725,False,-35.97228232727284,-34.2157021324374,1.7565801948354434,False,-23.3108790264656,-4.4441061216526805,18.86677290481292,False,827.0,-3.574305536685047,830.5743055366851,False,173.0,3.936185510080159,169.06381448991985,False,879.0,1.0399850321021196,877.9600149678979,False,494.0,4.993845281043689,489.00615471895634,False,932.0,7.246706615136281,924.7532933848636,False,661.0,4.313371386318442,656.6866286136816,False,1096.0,32.83582176948616,1063.164178230514,False,782.0,-13.834662761328945,795.8346627613289,False,1079.0,40.020309911802016,1038.979690088198,False,855.0,-3.634341494600548,858.6343414946006,False
103.0,-8.504579240878778,-63.43494882292201,54.930369582043234,False,17.102728969052368,0.0,17.102728969052368,False,-39.20720350496782,-40.91438322002512,1.7071797150573005,False,-21.489598798599005,-1.5960638579757216,19.893534940623283,False,828.0,-3.017005260394648,831.0170052603946,False,175.0,6.559543175524079,168.44045682447592,False,876.0,-1.4596166982291696,877.4596166982292,False,496.0,7.206028427111004,488.793971572889,False,928.0,7.2043828592625765,920.7956171407376,False,665.0,7.474147802830055,657.5258521971699,False,1096.0,37.81842514266629,1058.1815748573338,False,777.0,-19.33730270450184,796.3373027045019,False,1080.0,48.06010263979247,1031.9398973602076,False,851.0,-7.681010745442294,858.6810107454423,False
104.0,-7.676981734531941,0.0,7.676981734531941,False,16.29879638153733,83.6598082540901,67.36101187255277,False,-42.54189911011829,-49.703614704293216,7.161715594174929,False,-20.44618148555334,-1.636577041616718,18.80960444393662,False,830.0,-2.457647738968796,832.4576477389688,False,179.0,9.225830176522186,169.77416982347782,False,873.0,-3.903745859913202,876.9037458599132,False,498.0,9.432742014712648,488.56725798528737,False,923.0,6.9766775807137495,916.0233224192864,False,669.0,10.603885997969382,658.3961140020306,False,1095.0,42.38126693864366,1052.6187330613564,False,773.0,-24.63408677743013,797.6340867774302,False,1081.0,55.53604093722209,1025.4639590627778,False,847.0,-11.57275323884227,858.5727532388423,False
105.0,-6.636648808039392,0.0,6.636648808039392,False,15.989639737312594,80.53767779197437,64.54803805466179,False,-44.76153392614043,-55.859503235322,11.097969309181572,False,-19.15132195247169,-2.4168938069939827,16.734428145477708,False,833.0,-1.897855844232715,834.8978558442327,False,183.0,11.955637630983055,171.04436236901694,False,870.0,-6.247884480642351,876.2478844806424,False,501.0,11.692861935909235,489.30713806409074,False,919.0,6.470589706891303,912.5294102931086,False,672.0,13.691598016290046,658.3084019837099,False,1094.0,46.38584530517236,1047.6141546948277,False,770.0,-29.64388174393502,799.643881743935,False,1081.0,62.24978050337852,1018.7502194966216,False,843.0,-15.229747334042877,858.2297473340428,False
106.0,-5.9245819819824845,81.86989764584402,87.7944796278265,False,15.283301573147371,77.0053832080835,61.72208163493613,False,-47.89471722527111,-61.64683957222283,13.752122346951722,False,-17.731704280759175,-1.2468696734814273,16.484834607277747,False,834.0,-1.3384889457176226,835.3384889457176,False,186.0,14.754149759274876,171.24585024072513,False,867.0,-8.445124669462935,875.445124669463,False,504.0,13.994883060636862,490.0051169393631,False,914.0,5.603129780489183,908.3968702195108,False,676.0,16.717071546953203,659.2829284530468,False,1092.0,49.71788885471168,1042.2821111452884,False,766.0,-34.29029360273905,800.2902936027391,False,1080.0,68.03150002851959,1011.9684999714804,False,841.0,-18.57586354109208,859.5758635410921,False
107.0,-4.868332374685204,84.28940686250036,89.15773923718557,False,14.74356283647072,77.9052429229879,63.16168008651718,False,-49.85524848811528,-61.99384953079986,12.138601042684575,False,-17.705136953397414,0.2636290268851269,17.96876598028254,False,837.0,-0.7790842953023818,837.7790842953024,False,191.0,17.607768182737615,173.39223181726237,False,864.0,-10.447231038631132,874.4472310386311,False,508.0,16.33443407647015,491.6655659235298,False,909.0,4.304587126748765,904.6954128732511,False,679.0,19.648754699317244,659.3512453006828,False,1088.0,52.291516807838136,1035.7084831921618,False,764.0,-38.502063703267744,802.5020637032677,False,1078.0,72.74470635257775,1005.2552936474224,False,838.0,-21.539528544768167,859.5395285447681,False
108.0,-3.9825205718290326,80.53767779197437,84.5201983638034,False,14.036243467926456,74.05460409907714,60.018360631150685,False,-52.26761998570469,-66.85153701469336,14.583917028988672,False,-16.101493177777357,0.1955479762708591,16.297041154048216,False,839.0,-0.2173373721730176,839.217337372173,False,195.0,20.48255700727785,174.51744299272215,False,861.0,-12.206464691228003,873.206464691228,False,511.0,18.6930293252808,492.3069706747192,False,904.0,2.5215092004333424,901.4784907995668,False,683.0,22.442912632422235,660.5570873675778,False,1084.0,54.05154894102877,1029.9484510589712,False,762.0,-42.21350608490408,804.2135060849041,False,1074.0,76.28917073068692,997.7108292693132,False,837.0,-24.05476686261388,861.0547668626139,False
109.0,-3.089156375336414,81.25383773744478,84.3429941127812,False,13.483060027405251,72.89727103094764,59.414211003542384,False,-53.89707502455431,-69.45510832894473,15.55803330439042,False,-16.449689853010824,0.7198647447539059,17.16955459776473,False,841.0,0.351319367692253,840.6486806323078,False,200.0,23.32464795578547,176.67535204421452,False,858.0,-13.678110630407843,871.6781106304079,False,515.0,21.03810546593612,493.9618945340639,False,899.0,0.2192926283952022,898.7807073716048,False,686.0,25.04417017645141,660.9558298235486,False,1079.0,54.97371865844514,1024.0262813415547,False,761.0,-45.36505580466655,806.3650558046666,False,1071.0,78.60178916040529,992.3982108395948,False,835.0,-26.062527474994702,861.0625274749947,False
110.0,-1.8183029644516369,77.9052429229879,79.72354588743953,False,12.528807709151492,71.56505117707799,59.0362434679265,False,-56.433681265426685,-70.82895746552029,14.395276200093605,False,-13.341459303405244,2.1995797348634767,15.54103903826872,False,845.0,0.9339747157222528,844.0660252842778,False,204.0,26.062568231346663,177.93743176865334,False,855.0,-14.82354126712503,869.823541267125,False,519.0,23.3242735059796,495.6757264940204,False,893.0,-2.615733525945032,895.6157335259451,False,690.0,27.3874293560488,662.6125706439512,False,1075.0,55.06271438686761,1019.9372856131324,False,760.0,-47.90398443689514,807.9039844368951,False,1065.0,79.65531946979966,985.3446805302004,False,834.0,-27.51236121195947,861.5123612119595,False
